track,card_id,race_date,breed,name,weight,age,sex,meds_and_equip,jockey,dollar_odds,program_number,post_position,claim_price,start_position,finish_position,finish_time,speed_rating,trainer,owner,win_payoff,place_payoff,show_payoff,weather,distance,race_type,track_conditions
WO ,D,2014-10-24 00:00:00,TB,Shogun Rua,119,6,G,L,J I Alderson,1.5,3.0,3,6000,4.0,1.0,0.0,71.0,McKnight Norman,Bruno Schickedanz,5.0,3.3,3.1,Cloudy,600.0,Claiming,FT
WO ,D,2014-11-22 00:00:00,TB,Josai's Angel,121,4,M,L,T Wong,58.15,4.0,4,9500,9.0,10.0,0.0,25.0,Pottins Judith R,"Shortstop Stable and Zahreddine, Ramez",0.0,0.0,0.0,Cloudy,500.0,Maiden Claiming,FT
WO ,D,2014-11-23 00:00:00,TB,My Girl Madison,121,5,M,Lf,S Ryan,17.05,1.0,1,0,2.0,7.0,0.0,51.0,Fournier Mark,Bruno Schickedanz,0.0,0.0,0.0,Cloudy,600.0,Allowance,FT
WO ,D,2015-03-15 00:00:00,TB,Broken Meadow,123,4,M,Lb,S R Bahen,7.9,4.0,4,0,2.0,6.0,0.0,60.0,Mattine John,RCC Racing Stable Ltd.,0.0,0.0,0.0,Cloudy,600.0,Maiden Special Weight,FT
WO ,D,2015-04-23 00:00:00,TB,Perfect Timber,121,7,H,Lr,R M Hernandez,6.55,2.0,2,0,0.0,5.0,0.0,76.0,Neubauer Michaela,Charles E. Fipke,0.0,0.0,0.0,Cloudy,1100.0,Allowance Optional Claiming,FM
WO ,D,2015-04-26 00:00:00,TB,Parise,118,6,G,L,E Wilson,7.55,4.0,4,0,7.0,9.0,0.0,6.0,Baker Reade,Henley Thoroughbreds Ltd,0.0,0.0,0.0,Cloudy,600.0,Stakes,FT
WO ,D,2015-05-09 00:00:00,TB,Ruarc,123,4,G,Lf,K Johnson,16.75,2.0,2,40000,2.0,6.0,0.0,67.0,Lopez Shana,Three M Racing,0.0,0.0,0.0,Cloudy,600.0,Maiden Claiming,FT
WO ,D,2015-05-17 00:00:00,TB,Catch Some Zs,121,5,M,Lb,D Moran,5.7,2.0,2,40000,5.0,2.0,0.0,77.0,Buttigieg Paul M,Jim Vlahos,0.0,4.7,2.6,Cloudy,700.0,Claiming,FT
WO ,D,2015-05-29 00:00:00,TB,Perfect Tay,121,7,G,L,E Wilson,3.3,3.0,3,12500,4.0,4.0,0.0,85.0,Richards Lorne,True North Stable,0.0,0.0,0.0,Cloudy,650.0,Claiming,FT
WO ,D,2015-05-30 00:00:00,TB,Miners Dance,119,5,G,L,T Wong,54.55,2.0,2,9500,10.0,12.0,0.0,49.0,Sadler Ronald H,Phillip Lanning,0.0,0.0,0.0,Cloudy,650.0,Claiming,FT
WO ,D,2015-06-13 00:00:00,TB,Monkamonk,121,4,G,Lbf,L Contreras,3.25,6.0,6,11500,2.0,2.0,0.0,71.0,Hayes Breeda,Megel S Tucker,0.0,3.4,3.1,Cloudy,650.0,Maiden Claiming,FT
WO ,D,2015-06-14 00:00:00,TB,Tancook,123,4,M,L,P Husbands,1.3,9.0,8,50000,7.0,4.0,0.0,67.0,Casse Mark E,East West Stables,0.0,0.0,0.0,Cloudy,600.0,Maiden Claiming,FM
WO ,D,2015-06-20 00:00:00,TB,Madam Premier,119,4,M,Lb,S Ryan,7.2,1.0,1,9500,5.0,5.0,0.0,44.0,O'Keefe Thomas,Emily Anne Walker,0.0,0.0,0.0,Cloudy,900.0,Claiming,FT
WO ,D,2015-06-25 00:00:00,TB,Smokin Mischief,119,3,F,L,P Husbands,1.65,3.0,3,0,6.0,1.0,0.0,80.0,Casse Mark E,Gary Barber,5.3,2.9,2.1,Cloudy,500.0,Maiden Special Weight,FM
WO ,D,2015-06-28 00:00:00,TB,Front Page News,123,5,M,L,G Olguin,7.25,1.0,1,20000,6.0,8.0,0.0,27.0,Brnjas Ashlee,Colebrook Farms,0.0,0.0,0.0,Hazy,850.0,Maiden Claiming,FT
WO ,D,2015-07-07 00:00:00,TB,Canada Wise Don,123,5,G,Lbf,E Ramsammy,62.1,6.0,6,0,4.0,6.0,0.0,59.0,Fung Paul,Chateau Kentucky Ranch,0.0,0.0,0.0,Cloudy,650.0,Maiden Special Weight,FT
WO ,D,2015-07-07 00:00:00,TB,Canada Wise Don,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Clear,700.0,Maiden Claiming,FT
WO ,D,2015-07-11 00:00:00,TB,Ekati Sonet,123,4,G,Lb,L Contreras,2.0,3.0,3,25000,7.0,1.0,0.0,79.0,Attard Sid C,Ivan Dalos,6.0,3.2,2.5,Clear,650.0,Maiden Claiming,FT
WO ,D,2015-07-15 00:00:00,TB,Lilly's Goldie,121,5,M,Lb,E Wilson,9.25,8.0,7,0,6.0,2.0,0.0,91.0,Gonzalez Nicholas,R.M.C. Stable,0.0,7.4,3.5,Cloudy,650.0,Allowance,FT
WO ,D,2015-07-17 00:00:00,TB,She's No Meeny,119,5,M,L,O Moreno,18.5,3.0,3,9500,12.0,11.0,0.0,64.0,Biamonte Ralph J,James Sabiston,0.0,0.0,0.0,Cloudy,650.0,Claiming,FT
WO ,D,2015-07-17 00:00:00,TB,She's No Meeny,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Cloudy,700.0,Claiming,FT
WO ,D,2015-07-19 00:00:00,TB,Flashy Jester,123,5,G,,K Johnson,29.1,8.0,8,25000,5.0,8.0,0.0,53.0,Kennedy Richard W,Rocky Haven Farm,0.0,0.0,0.0,Cloudy,550.0,Maiden Claiming,FM
WO ,D,2015-07-19 00:00:00,TB,Notion Sonet,118,3,C,L,L Contreras,12.1,4.0,4,0,10.0,4.0,0.0,96.0,Carroll Josie,Ivan Dalos,0.0,0.0,0.0,Cloudy,650.0,Allowance,FT
WO ,D,2015-07-22 00:00:00,TB,Doc John,121,4,M,Lb,A Garcia,13.35,4.0,4,40000,4.0,11.0,0.0,56.0,Di Pasquale Sam,Terdik Farms ltd,0.0,0.0,0.0,Cloudy,650.0,Claiming,FM
WO ,D,2015-07-25 00:00:00,TB,Big Red Bugsy,121,5,G,L,S R Bahen,24.75,6.0,6,20000,10.0,5.0,0.0,83.0,Fournier Mark,"Carruthers, Carruthers, Carruthers, Carruthers, Beattie, Beattie et al.",0.0,0.0,0.0,Cloudy,700.0,Claiming,FT
WO ,D,2015-07-26 00:00:00,TB,Conquest Eclipse,121,4,M,L,P Husbands,4.35,1.0,1,0,1.0,8.0,0.0,86.0,Casse Mark E,"Conquest Stables, LLC",0.0,0.0,0.0,Cloudy,800.0,Allowance Optional Claiming,FM
WO ,D,2015-07-26 00:00:00,TB,Figsintheforest,119,4,G,Lb,J I Alderson,68.95,11.0,10,9500,6.0,7.0,0.0,56.0,Tharrenos William,Fig Star Stables Inc.,0.0,0.0,0.0,Showery,500.0,Claiming,FT
WO ,D,2015-07-31 00:00:00,TB,Valentine's Pearl,118,3,F,L,J V Bridgmohan,11.2,9.0,8,0,1.0,6.0,0.0,67.0,Casse Mark E,Conrad Farms,0.0,0.0,0.0,Cloudy,600.0,Maiden Special Weight,FT
